date,open,close,high,low,vol,amt,amp,pct,chg,turnover,ret_1d,ret_5d,ret_20d,rsi_14,macd,macd_signal,macd_hist,vol_20d,vol_sma_5,vol_ratio
2024-05-27,133.769,133.736,133.769,133.7,35643.0,484134371.0,0.05,-0.03,-0.034,14.27,-0.0003,0.0004,0.0017,57.6725,0.1375,0.1424,-0.0049,0.0227,33659.2,1.0589
2024-05-28,133.753,133.812,133.817,133.739,30882.0,419630816.0,0.06,0.06,0.076,12.36,0.0006,0.0015,0.0015,59.824,0.14,0.1419,-0.0019,0.0226,33376.4,0.9253
2024-05-29,133.862,133.884,133.896,133.825,28917.0,393217257.0,0.05,0.05,0.072,11.58,0.0005,0.0016,0.0037,70.082,0.1461,0.1428,0.0033,0.0217,32397.8,0.8926
2024-05-30,133.882,133.937,133.944,133.881,28778.0,391452427.0,0.05,0.04,0.053,11.52,0.0004,0.0013,0.0084,73.3333,0.1535,0.1449,0.0086,0.0143,31254.4,0.9208
2024-05-31,133.876,133.914,133.955,133.876,35903.0,488344735.0,0.06,-0.02,-0.023,14.37,-0.0002,0.0011,0.0053,67.0814,0.1556,0.1471,0.0086,0.011,32024.6,1.1211
2024-06-03,133.921,134.056,134.056,133.919,43246.0,588590463.0,0.1,0.11,0.142,17.31,0.0011,0.0024,0.0048,69.4006,0.1669,0.151,0.0159,0.0103,33545.2,1.2892
2024-06-04,134.036,134.088,134.095,134.02,35781.0,487162149.0,0.06,0.02,0.032,14.33,0.0002,0.0021,0.0038,70.4684,0.1764,0.1561,0.0203,0.0096,34525.0,1.0364
2024-06-05,134.054,134.127,134.245,134.054,33142.0,451510230.0,0.14,0.03,0.039,13.27,0.0003,0.0018,0.0039,76.3845,0.1849,0.1619,0.023,0.0096,35370.0,0.937
2024-06-06,134.129,134.101,134.166,134.055,28371.0,386461629.0,0.08,-0.02,-0.026,11.36,-0.0002,0.0012,0.0046,82.6923,0.1874,0.167,0.0204,0.0088,35288.6,0.804
2024-06-07,134.111,134.15,134.151,134.104,32798.0,446804856.0,0.04,0.04,0.049,13.13,0.0004,0.0018,0.0051,80.1556,0.1911,0.1718,0.0193,0.0087,34667.6,0.9461
