date,open,close,high,low,vol,amt,amp,pct,chg,turnover
2024-07-10,105.573,105.573,105.574,105.526,39846,420641141.700,0.05,0.0,-0.002,18.50
2024-07-11,105.571,105.588,105.588,105.557,62376,658571880.000,0.03,0.01,0.015,28.96
2024-07-12,105.607,105.636,105.643,105.605,40407,426842707.700,0.04,0.05,0.048,18.76
2024-07-15,105.636,105.665,105.684,105.632,36551,386214758.100,0.05,0.03,0.029,16.97
2024-07-16,105.665,105.657,105.696,105.626,68709,726103332.641,0.07,-0.01,-0.008,31.90
2024-07-17,105.685,105.685,105.686,105.668,17258,182378643.800,0.02,0.03,0.028,8.01
2024-07-18,105.679,105.669,105.698,105.664,21057,222524228.000,0.03,-0.02,-0.016,9.77
2024-07-19,105.67,105.694,105.695,105.67,16119,170358463.700,0.02,0.02,0.025,7.48
2024-07-22,105.758,105.817,105.834,105.758,40582,429390750.400,0.07,0.12,0.123,18.84
2024-07-23,105.821,105.905,105.908,105.821,17281,182984551.200,0.08,0.08,0.088,8.02
2024-07-24,105.905,105.884,105.905,105.872,24375,258094176.900,0.03,-0.02,-0.021,11.32
2024-07-25,105.882,105.874,105.932,105.866,18359,194396331.000,0.06,-0.01,-0.010,8.52
2024-07-26,105.895,105.9,105.92,105.882,18169,192410730.400,0.04,0.02,0.026,8.43
2024-07-29,105.897,105.891,105.915,105.886,29718,314704731.300,0.03,-0.01,-0.009,13.80
2024-07-30,105.91,105.919,105.926,105.905,57573,609817122.900,0.02,0.03,0.028,26.73
2024-07-31,105.953,105.984,106.026,105.952,57176,605924916.300,0.07,0.06,0.065,26.54
2024-08-01,105.984,106.051,106.058,105.984,26187,277643650.000,0.07,0.06,0.067,12.16
2024-08-02,106.081,106.093,106.124,106.071,47777,506904818.000,0.05,0.04,0.042,22.18
2024-08-05,106.097,106.147,106.147,106.097,29642,314552544.500,0.05,0.05,0.054,13.76
2024-08-06,106.12,106.083,106.12,106.042,51313,544309966.900,0.07,-0.06,-0.064,23.82
2024-08-07,106.085,106.093,106.111,106.084,53532,567938244.800,0.03,0.01,0.010,24.85
2024-08-08,106.074,106.025,106.078,106.01,50026,530506095.600,0.06,-0.06,-0.068,23.22
2024-08-09,106.02,105.94,106.02,105.929,56533,598941149.400,0.09,-0.08,-0.085,26.24
2024-08-12,105.9,105.816,105.91,105.815,24002,254079527.600,0.09,-0.12,-0.124,11.14
2024-08-13,105.818,105.92,105.933,105.815,37785,400108001.834,0.11,0.1,0.104,17.54
2024-08-14,105.95,105.975,106.035,105.95,39299,416656719.572,0.08,0.05,0.055,18.24
2024-08-15,105.985,105.885,106.01,105.885,74177,786032767.868,0.12,-0.08,-0.090,34.43
2024-08-16,105.915,105.901,105.929,105.896,38981,412884123.800,0.03,0.02,0.016,18.10
2024-08-19,105.886,105.895,105.911,105.885,32794,347284313.900,0.02,-0.01,-0.006,15.22
2024-08-20,105.931,105.878,105.931,105.862,62105,657546293.100,0.07,-0.02,-0.017,28.83
2024-08-21,105.877,105.791,105.878,105.777,25477,269617823.484,0.10,-0.08,-0.087,11.83
2024-08-22,105.885,105.895,105.905,105.863,56600,599340296.700,0.04,0.1,0.104,26.27
2024-08-23,105.9,105.953,105.961,105.878,42054,445418714.260,0.08,0.05,0.058,19.52
2024-08-26,105.966,105.977,105.995,105.949,43845,464722252.200,0.04,0.02,0.024,20.35
2024-08-27,105.976,105.922,105.976,105.908,64672,685163176.100,0.06,-0.05,-0.055,30.02
2024-08-28,105.916,105.945,105.946,105.899,42862,453948251.500,0.04,0.02,0.023,19.90
2024-08-29,105.95,105.931,105.994,105.921,51408,544631730.700,0.07,-0.01,-0.014,23.86
2024-08-30,105.968,105.936,105.968,105.901,45201,478771040.300,0.06,0.0,0.005,20.98
2024-09-02,105.993,106.063,106.079,105.993,50505,535612104.600,0.08,0.12,0.127,23.45
2024-09-03,106.064,106.13,106.134,106.06,51928,551013315.200,0.07,0.06,0.067,24.11
2024-09-04,106.14,106.124,106.191,106.104,47464,503748129.900,0.08,-0.01,-0.006,22.03
2024-09-05,106.142,106.151,106.168,106.142,56090,595455305.700,0.02,0.03,0.027,26.04
2024-09-06,106.153,106.174,106.174,106.135,45922,487519314.696,0.04,0.02,0.023,21.32
2024-09-09,106.173,106.202,106.223,106.162,66164,702537005.800,0.06,0.03,0.028,30.71
2024-09-10,106.202,106.206,106.213,106.165,51202,543819110.700,0.05,0.0,0.004,23.77
2024-09-11,106.208,106.292,106.295,106.208,46620,495429919.800,0.08,0.08,0.086,21.64
2024-09-12,106.292,106.29,106.324,106.27,25414,270177255.900,0.05,0.0,-0.002,11.80
2024-09-13,106.291,106.317,106.33,106.291,28223,300053106.800,0.04,0.03,0.027,13.10
2024-09-18,106.331,106.319,106.366,106.3,22202,236036766.300,0.06,0.0,0.002,10.31
2024-09-19,106.318,106.26,106.362,106.255,39833,423450103.400,0.10,-0.06,-0.059,18.49
2024-09-20,106.294,106.319,106.32,106.293,54871,583347710.100,0.03,0.06,0.059,25.47
2024-09-23,106.32,106.321,106.352,106.308,63891,679320743.600,0.04,0.0,0.002,29.66
2024-09-24,106.358,106.325,106.358,106.264,13889,147661034.700,0.09,0.0,0.004,6.45
2024-09-25,106.329,106.47,106.472,106.329,55378,589498885.024,0.13,0.14,0.145,25.71
